QADate,Unit,Energy,MU,DPF,ADPass,RDPass,AD,RD,D4DD,D4DTA,D4Gamma,Area,Circumference,MCS,Span,CoA,MachineType,Mu_per_dpf
02/09/2024,NA09,6X,313.4,180,80,95,83.7,96.9,0.0,0.0,0.0,93.29922222222223,68.01066666666665,0.364508,20.963046163379552,1.3718321962567968,Agility,1.741111111111111
02/09/2024,NA09,6X,256.2,200,75,90,86.6,95.6,0.0,0.0,0.0,81.11311111111111,97.34277777777775,0.198646,25.296196737230623,0.8332730271606067,Agility,1.281
02/09/2024,WV16,6X,877.0,500,85,95,97.7,100.0,0.0,0.0,0.0,26.488361111111114,25.898444444444447,0.279733,5.578861885707663,1.0227780733291576,TrueBeam,1.754
02/09/2024,NA09,6X,324.9,200,75,90,86.8,98.1,0.0,0.0,0.0,89.49977777777778,96.87399999999998,0.179295,24.49523090289363,0.9238782106424613,Agility,1.6244999999999998
02/09/2024,NA09,6X,731.3,600,75,90,93.1,99.1,0.0,0.0,0.0,82.02712389380531,79.64230088495574,0.291647,17.774402677427517,1.0299441751726193,Agility,1.2188333333333332
02/09/2024,WV16,6X,345.0,400,85,95,94.5,98.2,0.0,0.0,0.0,36.3406338028169,56.64338028169015,0.155478,14.398192520717307,0.6415689463109944,TrueBeam,0.8625
02/09/2024,WV16,6X,671.0,400,85,95,94.7,99.3,0.0,0.0,0.0,48.62583333333333,72.04400000000001,0.197557,16.030624800910367,0.6749463290951825,TrueBeam,1.6775
02/09/2024,WV16,6X,572.0,400,85,95,93.3,99.6,0.0,0.0,0.0,58.05719444444445,111.81477777777778,0.217657,16.04663541230615,0.5192264886473961,TrueBeam,1.43
02/09/2024,NA09,6X,788.1,600,75,90,81.4,95.0,0.0,0.0,0.0,34.309250000000006,51.19088888888889,0.129167,13.60986198983572,0.6702218059637349,Agility,1.3135000000000001
02/09/2024,NA09,6X,366.0,200,75,90,78.9,89.3,0.0,0.0,0.0,58.73211111111112,79.50600000000001,0.14796,20.471232026290206,0.7387129413014252,Agility,1.83
02/09/2024,WV16,6X,242.0,230,83,95,95.6,99.7,0.0,0.0,0.0,86.85330555555558,126.73344444444444,0.235533,18.190334493789358,0.6853226939131214,TrueBeam,1.0521739130434782
02/09/2024,NA09,6X,325.9,200,75,90,79.6,92.8,0.0,0.0,0.0,65.0038888888889,77.97111111111111,0.161961,20.921393716824866,0.8336919656852966,Agility,1.6295
02/09/2024,WV16,6X,258.0,230,83,95,90.1,99.9,0.0,0.0,0.0,94.34419444444444,156.23511111111108,0.222322,31.926785288503094,0.6038603856296352,TrueBeam,1.1217391304347826
02/09/2024,WV16,6X,303.0,230,83,95,83.2,99.3,0.0,0.0,0.0,76.68225,149.98944444444444,0.175178,31.858430760663104,0.5112509769205981,TrueBeam,1.317391304347826
02/09/2024,WV16,6X,2359.0,900,85,95,99.0,100.0,0.0,0.0,0.0,55.11930555555555,47.66766666666667,0.327269,12.298012279594403,1.15632480903664,TrueBeam,2.621111111111111
02/09/2024,WV16,6FFF,3592.0,1200,75,90,91.4,99.7,0.0,0.0,0.0,14.136694444444442,29.77588888888889,0.16836,7.607333381992324,0.47476985480422257,TrueBeam,2.993333333333333
02/09/2024,NA09,6X,32.5,150,75,90,97.7,99.2,0.0,0.0,0.0,94.41619047619048,67.44476190476192,0.617859,17.57328990447253,1.3999039778584237,Agility,0.21666666666666667
02/09/2024,WV16,6X,468.0,267,85,95,91.3,99.7,0.0,0.0,0.0,56.33100000000001,49.23666666666666,0.313081,11.107611498578429,1.1440863854850725,TrueBeam,1.752808988764045
02/09/2024,NA09,6X,100.0,150,75,90,83.6,97.5,0.0,0.0,0.0,78.13975409836067,78.68229508196721,0.250544,17.37109313978398,0.9931046624524443,Agility,0.6666666666666666
02/09/2024,NA09,6X,109.3,150,75,90,92.6,96.9,0.0,0.0,0.0,116.30852459016391,105.59934426229509,0.323736,21.212579685798985,1.1014133222387121,Agility,0.7286666666666667
02/09/2024,NA09,6X,44.6,150,75,90,95.8,97.8,0.0,0.0,0.0,91.84,66.0847619047619,0.564345,18.06005700696121,1.389730360719999,Agility,0.29733333333333334
01/16/2024,EA08,6X,296.5,180,83,95,80.1,97.8,58.3,67.2,79.5,148.64144444444446,128.59377777777777,0.148092,33.669135375183565,1.1558991967815966,Agility,1.6472222222222221
01/16/2024,EA08,6X,365.5,180,83,95,91.2,98.2,76.1,66.0,86.0,227.04955555555554,144.0382222222222,0.270902,33.05055785738855,1.5763146201934055,Agility,2.0305555555555554
01/16/2024,WA15,6X,191.7,180,80,95,98.8,99.9,0.0,0.0,0.0,47.55763888888889,43.90899999999999,0.437631,11.638726044784454,1.083095467646471,Agility,1.065
01/16/2024,WA15,6X,192.3,180,80,95,96.6,98.6,0.0,0.0,0.0,50.80605555555556,46.95344444444445,0.407205,11.909742747286838,1.0820517249947348,Agility,1.0683333333333334
01/16/2024,WA15,6X,204.1,180,75,90,97.4,99.6,0.0,0.0,0.0,23.218541666666667,32.11,0.323418,8.053918810702228,0.7230937921727396,Agility,1.133888888888889
01/16/2024,WA15,6X,88.6,180,75,90,100.0,100.0,0.0,0.0,0.0,33.949999999999996,30.397142857142864,0.583368,7.873036197284764,1.1168812858351345,Agility,0.49222222222222217
01/16/2024,WA15,6X,1040.7,600,80,95,75.8,99.5,98.1,100.0,99.8,34.380250000000004,44.92166666666667,0.195759,10.37774650707851,0.7653378102623085,Agility,1.7345000000000002
01/16/2024,WA15,6X,264.2,200,75,90,83.0,98.7,0.0,0.0,0.0,113.32738888888889,106.05077777777777,0.179857,24.846030488209955,1.0686144058873266,Agility,1.321
01/16/2024,WA15,6X,342.0,200,75,90,79.9,99.3,0.0,0.0,0.0,82.39627777777777,98.24255555555554,0.128482,24.46951767954007,0.8387025084173751,Agility,1.71
01/16/2024,WA15,6X,683.9,300,75,90,67.0,97.8,70.9,75.8,85.4,67.29408333333335,101.27188888888888,0.127168,26.558216450702727,0.6644892681637004,Agility,2.2796666666666665
01/16/2024,WA15,6X,746.3,300,75,90,70.6,97.9,62.8,75.8,82.5,83.06125,107.93466666666666,0.137628,27.65879348493022,0.7695511791083496,Agility,2.4876666666666667
01/16/2024,WA15,6X,266.8,200,75,90,91.2,98.3,0.0,0.0,0.0,73.42477777777778,74.725,0.191295,17.55324408364057,0.9825999033493179,Agility,1.334
01/16/2024,WA15,6X,356.6,200,75,90,87.8,97.8,0.0,0.0,0.0,45.73244444444445,68.05911111111111,0.157342,17.392439459028136,0.6719518327205763,Agility,1.7830000000000001
01/16/2024,WA15,6X,326.8,400,75,90,91.5,95.3,0.0,0.0,0.0,63.85029411764705,39.07764705882353,0.550724,10.674009399165822,1.6339339474951828,Agility,0.8170000000000001
01/16/2024,WA15,6X,363.9,400,75,90,95.9,98.7,0.0,0.0,0.0,66.4271568627451,41.38823529411764,0.509293,10.331487330167526,1.6049767860526816,Agility,0.90975
01/16/2024,WA15,6X,228.1,200,80,95,82.1,93.5,0.0,0.0,0.0,38.84583333333333,72.23688888888888,0.138413,20.801018866162146,0.5377561787452394,Agility,1.1405
01/16/2024,WA15,6X,200.7,200,80,95,91.8,99.7,0.0,0.0,0.0,39.694861111111116,67.40755555555555,0.15034,20.274482671904334,0.5888785134538167,Agility,1.0034999999999998
01/16/2024,WA15,6X,444.3,200,80,95,83.9,98.0,0.0,0.0,0.0,45.76061111111112,71.67955555555557,0.160519,22.022613364170546,0.6384053410549421,Agility,2.2215000000000003
01/16/2024,WA15,6X,172.5,200,75,90,91.4,97.9,0.0,0.0,0.0,107.47995689655173,90.00258620689655,0.220343,23.495988033048725,1.194187427564342,Agility,0.8625
01/16/2024,WA15,6X,154.7,200,75,90,92.5,99.8,0.0,0.0,0.0,93.16806034482757,85.73534482758622,0.19356,23.460254178522185,1.0866937146189655,Agility,0.7735
01/16/2024,WA15,6X,3848.1,1000,76,95,77.2,90.8,0.0,0.0,0.0,2.771166666666667,11.284444444444444,0.097263,3.9087312440208812,0.24557404489956677,Agility,3.8481
01/16/2024,NA11,6X,863.2,600,80,95,80.5,96.4,78.9,90.1,91.5,119.20744444444445,95.59288888888888,0.323522,23.091644690554787,1.247032554722806,Agility,1.4386666666666668
01/16/2024,NA11,6X,861.7,600,80,95,85.2,98.7,77.0,81.4,89.5,96.49933333333333,94.4058888888889,0.257434,21.75982909085258,1.02217493494403,Agility,1.4361666666666668
01/16/2024,WV16,6FFF,1461.0,800,76,95,85.9,100.0,0.0,0.0,0.0,13.822055555555558,20.406,0.241398,5.971021120347457,0.6773525215895109,TrueBeam,1.82625
01/16/2024,WV16,6FFF,3470.0,1200,75,90,73.1,100.0,0.0,0.0,0.0,17.755861111111113,36.82866666666667,0.138792,11.0933461187544,0.48212066083787386,TrueBeam,2.8916666666666666
01/16/2024,WV16,6FFF,4305.0,1200,75,90,74.4,99.0,0.0,0.0,0.0,18.35397222222222,36.96833333333334,0.129116,11.887120212250148,0.49647821709270684,TrueBeam,3.5875
01/16/2024,WV16,6FFF,7930.0,3400,76,95,92.3,99.7,0.0,0.0,0.0,9.431527777777779,20.795777777777783,0.099087,6.5026288640048024,0.45353089836612126,TrueBeam,2.3323529411764707
01/29/2024,EV06,6X,257.0,180,85,95,99.3,99.8,0.0,0.0,0.0,25.879555555555555,25.043111111111113,0.495452,6.133176968068781,1.0334001810211724,TrueBeam,1.4277777777777778
01/29/2024,NA11,6X,1169.6,700,76,95,90.9,98.7,0.0,0.0,0.0,101.09044444444444,60.36888888888889,0.402519,14.878144663186987,1.674545387616874,Agility,1.6708571428571428
01/29/2024,NA11,6X,1158.6,600,76,95,79.4,98.4,0.0,0.0,0.0,63.28483333333334,76.86755555555555,0.116005,22.937868352427937,0.8232970708635923,Agility,1.9309999999999998
01/29/2024,NA11,6X,1119.0,600,76,95,68.1,93.1,0.0,0.0,0.0,10.194916666666664,27.318666666666665,0.056422,6.1206382533664065,0.3731850017082336,Agility,1.865
01/29/2024,NA11,6X,1391.3,600,76,95,81.5,98.9,0.0,0.0,0.0,29.669055555555556,49.3571111111111,0.067475,10.956472466910977,0.6011100505612161,Agility,2.318833333333333
01/29/2024,NA11,6X,205.4,200,83,95,92.8,99.4,0.0,0.0,0.0,166.72055555555556,101.82066666666667,0.358094,23.453979828295285,1.6373940675654146,Agility,1.0270000000000001
01/29/2024,NA11,6X,247.2,200,83,95,89.3,99.6,0.0,0.0,0.0,140.99852777777778,102.46600000000001,0.348645,22.505142633966216,1.3760518394177363,Agility,1.236
01/29/2024,NA11,6X,246.3,200,83,95,91.0,97.7,0.0,0.0,0.0,54.57677777777778,44.53655555555555,0.338352,12.141863693480524,1.2254377802005345,Agility,1.2315
01/29/2024,NA11,6X,229.2,200,83,95,90.7,98.8,0.0,0.0,0.0,55.91627777777778,44.244,0.380175,11.914102933790305,1.2638160604325508,Agility,1.146
